,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
335,336,42,No,Non-Travel,179,Human Resources,2,Doctor,Medical,Very High,Male,79,Very High,2,Human Resources,Low,Married,6272,12858,7,No,16,Excellent,Low,1,10,3,Outstanding,4,3,0,3
336,337,32,No,Travel_Frequently,967,Sales,8,Bachelor,Marketing,Medium,Female,43,High,3,Sales Executive,Very High,Single,8998,15589,1,No,14,Excellent,Very High,0,9,2,Excellent,9,8,3,7
337,338,32,No,Travel_Frequently,430,Research & Development,24,Master,Life Sciences,Low,Male,80,High,2,Laboratory Technician,Very High,Married,5309,21146,1,No,15,Excellent,Very High,2,10,2,Excellent,10,8,4,7
338,339,55,No,Travel_Rarely,147,Research & Development,20,College,Technical Degree,Medium,Male,37,High,2,Laboratory Technician,Very High,Married,5415,15972,3,Yes,19,Excellent,Very High,1,12,4,Excellent,10,7,0,8
342,343,27,No,Non-Travel,1277,Research & Development,8,Doctor,Life Sciences,Low,Male,87,Low,1,Laboratory Technician,High,Married,4621,5869,1,No,19,Excellent,Very High,3,3,4,Excellent,3,2,1,2
343,344,38,No,Travel_Frequently,1186,Research & Development,3,Master,Other,High,Male,44,High,1,Research Scientist,High,Married,2821,2997,3,No,16,Excellent,Low,1,8,2,Excellent,2,2,2,2
344,345,37,No,Travel_Frequently,1231,Sales,21,College,Medical,High,Female,54,High,1,Sales Representative,Very High,Married,2973,21222,5,No,15,Excellent,Medium,1,10,3,Excellent,5,4,0,0
346,347,26,No,Travel_Frequently,496,Research & Development,11,College,Medical,Low,Male,60,High,2,Healthcare Representative,Low,Married,4741,22722,1,Yes,13,Excellent,High,1,5,3,Excellent,5,3,3,3
348,349,45,No,Travel_Rarely,252,Research & Development,1,Bachelor,Other,High,Male,70,Very High,5,Manager,Very High,Married,19202,15970,0,No,11,Excellent,High,1,25,2,Excellent,24,0,1,7
349,350,26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,High,Female,47,Medium,2,Sales Executive,Very High,Married,4157,21436,7,Yes,19,Excellent,High,1,5,2,Good,2,2,0,0
350,351,41,No,Travel_Rarely,802,Sales,9,Below College,Life Sciences,High,Male,96,High,3,Sales Executive,High,Divorced,8189,21196,3,Yes,13,Excellent,High,1,12,2,Excellent,9,7,0,7
351,352,19,No,Travel_Rarely,645,Research & Development,9,College,Life Sciences,High,Male,54,High,1,Research Scientist,Low,Single,2552,7172,1,No,25,Outstanding,High,0,1,4,Excellent,1,1,0,0
352,353,40,No,Travel_Rarely,630,Sales,4,Master,Marketing,High,Male,67,Medium,3,Sales Executive,Very High,Married,10855,8552,7,No,11,Excellent,Low,1,15,2,Good,12,11,2,11
354,355,43,No,Travel_Frequently,559,Research & Development,10,Master,Life Sciences,High,Female,82,Medium,2,Laboratory Technician,High,Divorced,5257,6227,1,No,11,Excellent,Medium,1,9,3,Outstanding,9,7,0,0
355,356,35,No,Non-Travel,727,Research & Development,3,Bachelor,Life Sciences,High,Male,41,Medium,1,Laboratory Technician,High,Married,1281,16900,1,No,18,Excellent,High,2,1,3,Excellent,1,0,0,0
356,357,52,No,Travel_Rarely,621,Sales,3,Master,Marketing,High,Male,31,Medium,4,Manager,Low,Married,16856,10084,1,No,11,Excellent,Low,0,34,3,Outstanding,34,6,1,16
357,358,49,No,Travel_Rarely,470,Research & Development,20,Master,Medical,High,Female,96,High,2,Manufacturing Director,Low,Married,6567,5549,1,No,14,Excellent,High,0,16,2,Good,15,11,5,11
358,359,37,No,Non-Travel,1413,Research & Development,5,College,Technical Degree,High,Male,84,Very High,1,Laboratory Technician,High,Single,3500,25470,0,No,14,Excellent,Low,0,7,2,Low,6,5,1,3
359,360,43,No,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,Very High,Male,61,High,1,Laboratory Technician,Very High,Married,2258,15238,7,No,20,Outstanding,Low,1,8,1,Excellent,3,2,1,2
361,362,23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,High,Male,62,High,1,Sales Representative,Low,Divorced,2322,9518,3,No,13,Excellent,High,1,3,3,Excellent,0,0,0,0
362,363,55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,Very High,Female,33,High,4,Manager,High,Divorced,14756,19730,2,Yes,14,Excellent,High,3,21,2,Excellent,5,0,0,2
363,364,53,No,Travel_Rarely,102,Research & Development,23,Master,Life Sciences,Very High,Female,72,High,4,Research Director,Very High,Single,14275,20206,6,No,18,Excellent,High,0,33,0,Excellent,12,9,3,8
364,365,34,No,Travel_Frequently,669,Research & Development,1,Bachelor,Medical,Very High,Male,97,Medium,2,Healthcare Representative,Low,Single,5343,25755,0,No,20,Outstanding,High,0,14,3,Excellent,13,9,4,9
365,366,58,Yes,Travel_Rarely,289,Research & Development,2,Bachelor,Technical Degree,Very High,Male,51,High,1,Research Scientist,High,Single,2479,26227,4,No,24,Outstanding,Low,0,7,4,Excellent,1,0,0,0
366,367,34,No,Travel_Frequently,618,Research & Development,3,Below College,Life Sciences,Low,Male,45,High,2,Healthcare Representative,Very High,Single,7756,22266,0,No,17,Excellent,High,0,7,1,Good,6,2,0,4
367,368,30,No,Non-Travel,829,Research & Development,1,Below College,Life Sciences,High,Male,88,Medium,3,Manufacturing Director,High,Single,8474,20925,1,No,22,Outstanding,High,0,12,2,Excellent,11,8,5,8
368,369,32,No,Travel_Rarely,120,Research & Development,6,Doctor,Life Sciences,High,Male,43,High,1,Research Scientist,High,Single,3038,12430,3,No,20,Outstanding,Low,0,8,2,Excellent,5,4,1,4
369,370,36,No,Travel_Rarely,1396,Research & Development,5,College,Life Sciences,Very High,Male,62,High,2,Laboratory Technician,Medium,Single,5914,9945,8,No,16,Excellent,Very High,0,16,3,Outstanding,13,11,3,7
372,373,40,No,Travel_Frequently,1184,Sales,2,Master,Medical,Medium,Male,62,High,2,Sales Executive,Medium,Married,4327,25440,5,No,12,Excellent,Very High,3,5,2,Excellent,0,0,0,0
373,374,36,No,Non-Travel,1105,Research & Development,24,Master,Life Sciences,Medium,Female,47,High,2,Laboratory Technician,Medium,Married,5674,6927,7,No,15,Excellent,High,1,11,3,Excellent,9,8,0,8
374,375,21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,High,Male,96,High,1,Research Scientist,Very High,Single,1232,19281,1,No,14,Excellent,Very High,0,0,6,Excellent,0,0,0,0
376,377,34,No,Travel_Rarely,204,Sales,14,Bachelor,Technical Degree,High,Female,31,High,1,Sales Representative,High,Divorced,2579,2912,1,Yes,18,Excellent,Very High,2,8,3,Excellent,8,2,0,6
378,379,34,No,Travel_Rarely,665,Research & Development,6,Master,Other,Low,Female,41,High,2,Research Scientist,High,Single,4809,12482,1,No,14,Excellent,High,0,16,3,Excellent,16,13,2,10
380,381,39,No,Travel_Rarely,1383,Human Resources,2,Bachelor,Life Sciences,Very High,Female,42,Medium,2,Human Resources,Very High,Married,5204,7790,8,No,11,Excellent,High,2,13,2,Excellent,5,4,0,4
381,382,45,No,Travel_Rarely,549,Research & Development,8,Master,Other,Very High,Male,75,High,2,Research Scientist,Very High,Married,3697,9278,9,No,14,Excellent,Low,2,12,3,Excellent,10,9,9,8
384,385,31,Yes,Travel_Frequently,307,Research & Development,29,College,Medical,High,Male,71,Medium,1,Laboratory Technician,Medium,Single,3479,11652,0,No,11,Excellent,Medium,0,6,2,Outstanding,5,4,1,4
385,386,38,No,Travel_Rarely,1035,Sales,3,Master,Life Sciences,Medium,Male,42,High,2,Sales Executive,Very High,Single,6861,4981,8,Yes,12,Excellent,High,0,19,1,Excellent,1,0,0,0
387,388,31,No,Travel_Frequently,1327,Research & Development,3,Master,Medical,Medium,Male,73,High,3,Research Director,High,Divorced,13675,13523,9,No,12,Excellent,Low,1,9,3,Excellent,2,2,2,2
388,389,26,No,Travel_Rarely,991,Research & Development,6,Bachelor,Life Sciences,High,Female,71,High,1,Laboratory Technician,Very High,Married,2659,17759,1,Yes,13,Excellent,High,1,3,2,Excellent,3,2,0,2
390,391,30,No,Travel_Rarely,1138,Research & Development,6,Bachelor,Technical Degree,Low,Female,48,Medium,2,Laboratory Technician,Very High,Married,4627,23631,0,No,12,Excellent,Low,1,10,6,Excellent,9,2,6,7
392,393,34,No,Travel_Rarely,943,Research & Development,9,Bachelor,Life Sciences,Very High,Male,86,High,3,Healthcare Representative,Very High,Divorced,8500,5494,0,No,11,Excellent,Very High,1,10,0,Good,9,7,1,6
393,394,35,No,Travel_Rarely,735,Research & Development,6,Below College,Life Sciences,High,Male,66,High,1,Research Scientist,High,Married,3506,6020,0,Yes,14,Excellent,Very High,0,4,3,Excellent,3,2,2,2
394,395,27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,Very High,Female,33,High,1,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,Excellent,Very High,1,1,6,Excellent,1,0,0,0
398,399,31,No,Travel_Rarely,691,Research & Development,5,Master,Technical Degree,High,Male,86,High,1,Research Scientist,Very High,Married,4821,10077,0,Yes,12,Excellent,High,1,6,4,Excellent,5,2,0,3
399,400,39,No,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,High,Female,48,High,1,Laboratory Technician,High,Married,3755,17872,1,No,11,Excellent,Low,1,8,3,Excellent,8,3,0,7
400,401,29,No,Travel_Rarely,1252,Research & Development,23,College,Life Sciences,High,Male,81,Very High,1,Research Scientist,High,Married,2700,23779,1,No,24,Outstanding,High,1,10,3,Excellent,10,7,0,7
402,403,29,Yes,Travel_Rarely,121,Sales,27,Bachelor,Marketing,Medium,Female,35,High,3,Sales Executive,Very High,Married,7639,24525,1,No,22,Outstanding,Very High,3,10,3,Good,10,4,1,9
403,404,44,Yes,Travel_Rarely,935,Research & Development,3,Bachelor,Life Sciences,Low,Male,89,High,1,Laboratory Technician,Low,Married,2362,14669,4,No,12,Excellent,High,0,10,4,Outstanding,3,2,1,2
404,405,26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,High,Female,46,Medium,1,Research Scientist,Medium,Married,2368,23300,1,No,19,Excellent,High,0,5,3,Good,5,4,4,3
405,406,48,No,Travel_Rarely,163,Sales,2,Doctor,Marketing,Medium,Female,37,High,2,Sales Executive,Very High,Married,4051,19658,2,No,14,Excellent,Low,1,14,2,Excellent,9,7,6,7
406,407,38,No,Travel_Rarely,364,Research & Development,3,Doctor,Technical Degree,Very High,Female,32,High,2,Research Scientist,High,Single,4317,2302,3,Yes,20,Outstanding,Medium,0,19,2,Excellent,3,2,2,2
408,409,23,Yes,Travel_Rarely,1243,Research & Development,6,Bachelor,Life Sciences,High,Male,63,Very High,1,Laboratory Technician,Low,Married,1601,3445,1,Yes,21,Outstanding,High,2,1,2,Excellent,0,0,0,0
410,411,50,No,Travel_Rarely,939,Research & Development,24,Bachelor,Life Sciences,Very High,Male,95,High,4,Manufacturing Director,High,Married,13973,4161,3,Yes,18,Excellent,Very High,1,22,2,Excellent,12,11,1,5
411,412,37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,High,Male,87,High,3,Sales Executive,Very High,Single,7428,14506,2,No,12,Excellent,Low,0,12,3,Excellent,5,3,1,3
413,414,31,No,Travel_Rarely,1398,Human Resources,8,College,Medical,Very High,Female,96,Very High,1,Human Resources,Medium,Single,2109,24609,9,No,18,Excellent,Very High,0,8,3,Excellent,3,2,0,2
414,415,49,Yes,Travel_Rarely,1184,Sales,11,Bachelor,Marketing,High,Female,43,High,3,Sales Executive,Very High,Married,7654,5860,1,No,18,Excellent,Low,2,9,3,Outstanding,9,8,7,7
415,416,34,No,Travel_Frequently,135,Research & Development,19,Bachelor,Medical,High,Female,46,High,2,Laboratory Technician,Medium,Divorced,4444,22534,4,No,13,Excellent,High,2,15,2,Outstanding,11,8,5,10
416,417,41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,Medium,Female,94,High,2,Sales Executive,Very High,Single,5993,19479,8,Yes,11,Excellent,Low,0,8,0,Low,6,4,0,5
417,418,34,No,Travel_Rarely,970,Research & Development,8,College,Medical,Medium,Female,96,High,2,Healthcare Representative,High,Single,6142,7360,3,No,11,Excellent,Very High,0,10,2,Excellent,5,1,4,3
418,419,39,No,Travel_Frequently,505,Research & Development,2,Master,Technical Degree,High,Female,64,High,3,Healthcare Representative,High,Single,10938,6420,0,No,25,Outstanding,Very High,0,20,1,Excellent,19,6,11,8
419,420,32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,Medium,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1,Yes,22,Outstanding,Medium,0,10,5,Excellent,10,2,6,7
420,421,37,No,Travel_Frequently,889,Research & Development,9,Bachelor,Medical,Medium,Male,53,High,1,Research Scientist,Very High,Married,2326,11411,1,Yes,12,Excellent,High,3,4,3,Good,4,2,1,2
421,422,30,Yes,Travel_Rarely,138,Research & Development,22,Bachelor,Life Sciences,Low,Female,48,High,1,Research Scientist,High,Married,2132,11539,4,Yes,11,Excellent,Medium,0,7,2,Excellent,5,2,0,1
423,424,55,No,Travel_Rarely,452,Research & Development,1,Bachelor,Medical,Very High,Male,81,High,5,Manager,Low,Single,19045,18938,0,Yes,14,Excellent,High,0,37,2,Excellent,36,10,4,13
424,425,37,No,Travel_Rarely,1225,Research & Development,10,College,Life Sciences,Very High,Male,80,Very High,1,Research Scientist,Very High,Single,4680,15232,3,No,17,Excellent,Low,0,4,2,Excellent,1,0,0,0
425,426,35,No,Travel_Rarely,619,Sales,1,Bachelor,Marketing,Medium,Male,85,High,2,Sales Executive,High,Married,4717,18659,9,No,11,Excellent,High,0,15,2,Excellent,11,9,6,9
426,427,46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,High,Male,40,Medium,3,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,Excellent,High,1,21,5,Good,10,9,9,5
428,429,36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,Low,Female,39,High,1,Laboratory Technician,Very High,Divorced,2835,2561,5,No,22,Outstanding,Low,1,7,2,Excellent,1,0,0,0
429,430,24,No,Non-Travel,1269,Research & Development,4,Below College,Life Sciences,Low,Male,46,Medium,1,Laboratory Technician,Very High,Married,3162,10778,0,No,17,Excellent,Very High,0,6,2,Good,5,2,3,4
430,431,50,No,Travel_Rarely,1464,Research & Development,2,Master,Medical,Medium,Male,62,High,5,Research Director,High,Married,19237,12853,2,Yes,11,Excellent,Very High,1,29,2,Good,8,1,7,7
431,432,32,No,Non-Travel,1184,Research & Development,1,Bachelor,Life Sciences,High,Female,70,Medium,1,Laboratory Technician,Medium,Married,2332,3974,6,No,20,Outstanding,High,0,5,3,Excellent,3,0,0,2
432,433,34,No,Travel_Rarely,121,Research & Development,2,Master,Medical,High,Female,86,Medium,1,Research Scientist,Low,Single,4381,7530,1,No,11,Excellent,High,0,6,3,Excellent,6,5,1,3
433,434,26,No,Travel_Rarely,652,Research & Development,7,Bachelor,Other,High,Male,100,Very High,1,Laboratory Technician,Low,Single,3578,23577,0,No,12,Excellent,Very High,0,8,2,Excellent,7,7,0,7
434,435,33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,High,Female,42,Very High,2,Sales Executive,Low,Married,5376,3193,2,No,19,Excellent,Low,2,10,3,Excellent,5,3,1,3
437,438,38,No,Travel_Frequently,1391,Research & Development,10,Below College,Medical,High,Male,66,High,1,Research Scientist,High,Married,2684,12127,0,No,17,Excellent,Medium,1,3,0,Good,2,1,0,2
438,439,37,No,Travel_Rarely,1462,Research & Development,11,Bachelor,Medical,Low,Female,94,High,1,Laboratory Technician,High,Single,3629,19106,4,No,18,Excellent,Low,0,8,6,Excellent,3,2,0,2
439,440,35,No,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,Very High,Male,72,High,3,Healthcare Representative,High,Married,7632,14295,4,Yes,12,Excellent,High,0,10,2,Excellent,8,7,0,0
440,441,32,No,Travel_Rarely,128,Research & Development,2,Below College,Technical Degree,Very High,Male,84,Medium,2,Laboratory Technician,Low,Single,2176,19737,4,No,13,Excellent,Very High,0,9,5,Excellent,6,2,0,4
441,442,38,No,Travel_Frequently,240,Research & Development,2,Master,Life Sciences,Low,Female,75,Very High,2,Manufacturing Director,Low,Single,5980,26085,6,Yes,12,Excellent,Very High,0,17,2,Excellent,15,7,4,12
442,443,39,No,Travel_Rarely,117,Research & Development,10,Below College,Medical,High,Male,99,High,4,Manager,Low,Married,17068,5355,1,Yes,14,Excellent,Very High,0,21,3,Excellent,21,9,11,10
443,444,33,No,Travel_Rarely,117,Research & Development,9,Bachelor,Medical,Low,Male,60,High,1,Research Scientist,Very High,Married,2781,6311,0,No,13,Excellent,Medium,1,15,5,Excellent,14,10,4,10
445,446,59,No,Travel_Rarely,326,Sales,3,Bachelor,Life Sciences,High,Female,48,Medium,2,Sales Executive,Very High,Single,5171,16490,5,No,17,Excellent,Very High,0,13,2,Excellent,6,1,0,5
446,447,36,No,Travel_Rarely,928,Sales,1,College,Life Sciences,Medium,Male,56,High,2,Sales Executive,Very High,Married,6201,2823,1,Yes,14,Excellent,Very High,1,18,1,Good,18,14,4,11
447,448,37,No,Travel_Frequently,663,Research & Development,11,Bachelor,Other,Medium,Male,47,High,3,Research Director,Very High,Divorced,12185,10056,1,Yes,14,Excellent,High,3,10,1,Excellent,10,8,0,7
449,450,28,No,Travel_Rarely,1117,Research & Development,8,College,Life Sciences,Very High,Female,66,High,1,Research Scientist,Very High,Single,3310,4488,1,No,21,Outstanding,Very High,0,5,3,Excellent,5,3,0,2
450,451,49,No,Travel_Rarely,1245,Research & Development,18,Master,Life Sciences,Very High,Male,58,Medium,5,Research Director,High,Divorced,19502,2125,1,Yes,17,Excellent,High,1,31,5,Excellent,31,9,0,9
451,452,34,No,Travel_Rarely,254,Research & Development,1,College,Life Sciences,Medium,Male,83,Medium,1,Research Scientist,Very High,Married,3622,22794,1,Yes,13,Excellent,Very High,1,6,3,Excellent,6,5,1,3
455,456,35,Yes,Travel_Rarely,1204,Sales,4,Bachelor,Technical Degree,Very High,Male,86,High,3,Sales Executive,Low,Single,9582,10333,0,Yes,22,Outstanding,Low,0,9,2,Excellent,8,7,4,7
456,457,27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,Very High,Male,37,High,3,Sales Executive,High,Single,8726,2975,1,No,15,Excellent,Very High,0,9,0,Excellent,9,8,1,7
457,458,48,No,Travel_Rarely,1355,Research & Development,4,Master,Life Sciences,High,Male,78,Medium,3,Healthcare Representative,High,Single,10999,22245,7,No,14,Excellent,Medium,0,27,3,Excellent,15,11,4,8
458,459,41,No,Travel_Rarely,933,Research & Development,9,Master,Life Sciences,High,Male,94,High,1,Laboratory Technician,Low,Married,2238,6961,2,No,21,Outstanding,Very High,1,7,2,Excellent,5,0,1,4
459,460,36,No,Travel_Frequently,469,Research & Development,3,Bachelor,Technical Degree,High,Male,46,High,1,Research Scientist,Medium,Married,3692,9256,1,No,12,Excellent,High,0,12,2,Good,11,10,0,7
460,461,40,No,Non-Travel,1151,Research & Development,9,Doctor,Life Sciences,Very High,Male,63,Medium,2,Healthcare Representative,Very High,Married,4876,14242,9,No,14,Excellent,Very High,1,5,5,Low,3,2,0,2
462,463,31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,High,Female,61,High,2,Manufacturing Director,Very High,Single,4424,20682,1,No,23,Outstanding,Very High,0,11,2,Excellent,11,7,1,8
463,464,20,Yes,Travel_Rarely,1362,Research & Development,10,Below College,Medical,Very High,Male,32,High,1,Research Scientist,High,Single,1009,26999,1,Yes,11,Excellent,Very High,0,1,5,Excellent,1,0,1,1
465,466,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,Very High,Male,79,Medium,1,Research Scientist,High,Married,3388,21777,0,Yes,17,Excellent,Low,1,2,0,Good,1,0,0,0
467,468,35,No,Travel_Frequently,944,Sales,1,Bachelor,Marketing,High,Female,92,High,3,Sales Executive,High,Single,8789,9096,1,No,14,Excellent,Low,0,10,3,Outstanding,10,7,0,8
468,469,24,No,Travel_Rarely,1206,Research & Development,17,Below College,Medical,Very High,Female,41,Medium,2,Manufacturing Director,High,Divorced,4377,24117,1,No,15,Excellent,Medium,2,5,6,Excellent,4,2,3,2
469,470,23,No,Travel_Rarely,373,Research & Development,1,College,Life Sciences,Very High,Male,47,High,1,Research Scientist,High,Married,1223,16901,1,No,22,Outstanding,Very High,1,1,2,Excellent,1,0,0,1
470,471,28,No,Travel_Rarely,1476,Research & Development,16,College,Medical,Medium,Male,68,Very High,2,Healthcare Representative,Low,Single,5661,4824,0,No,19,Excellent,High,0,9,2,Excellent,8,3,0,7
471,472,60,No,Travel_Rarely,1179,Sales,16,Master,Marketing,Low,Male,84,High,2,Sales Executive,Low,Single,5405,11924,8,No,14,Excellent,Very High,0,10,1,Excellent,2,2,2,2
472,473,47,No,Travel_Frequently,1379,Research & Development,16,Master,Medical,High,Male,64,Very High,2,Manufacturing Director,High,Divorced,5067,6759,1,Yes,19,Excellent,High,0,20,3,Outstanding,19,10,2,7
473,474,41,No,Travel_Rarely,427,Human Resources,10,Master,Human Resources,Medium,Male,73,Medium,5,Manager,Very High,Divorced,19141,8861,3,No,15,Excellent,Medium,3,23,2,Good,21,6,12,6
474,475,24,No,Travel_Rarely,477,Research & Development,24,Bachelor,Medical,Very High,Male,49,High,1,Laboratory Technician,Medium,Single,3597,6409,8,No,22,Outstanding,Very High,0,6,2,Excellent,4,3,1,2
475,476,29,No,Travel_Rarely,1086,Research & Development,7,Below College,Medical,Low,Female,62,Medium,1,Laboratory Technician,Very High,Divorced,2532,6054,6,No,14,Excellent,High,3,8,5,Excellent,4,3,0,3
476,477,37,Yes,Travel_Frequently,504,Research & Development,10,Bachelor,Medical,Low,Male,61,High,3,Manufacturing Director,High,Divorced,10048,22573,6,No,11,Excellent,Medium,2,17,5,Excellent,1,0,0,0
479,480,55,No,Travel_Frequently,135,Research & Development,18,Master,Medical,High,Male,62,High,2,Healthcare Representative,Medium,Married,6385,12992,3,Yes,14,Excellent,Very High,2,17,3,Excellent,8,7,6,7
480,481,30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,Very High,Male,55,Medium,2,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,Excellent,High,2,10,1,Good,10,8,3,0
483,484,26,No,Travel_Rarely,703,Sales,28,College,Marketing,Low,Male,66,High,2,Sales Executive,Medium,Married,6272,7428,1,No,20,Outstanding,Very High,2,6,5,Outstanding,5,3,1,4
484,485,29,Yes,Travel_Rarely,318,Research & Development,8,Master,Other,Medium,Male,77,Low,1,Laboratory Technician,Low,Married,2119,4759,1,Yes,11,Excellent,Very High,0,7,4,Good,7,7,0,7
485,486,25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,Low,Male,91,High,1,Laboratory Technician,Low,Married,4031,9396,5,No,13,Excellent,High,1,6,5,Excellent,2,2,0,2
487,488,37,No,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,Very High,Female,95,High,1,Laboratory Technician,Low,Divorced,3034,26914,1,No,12,Excellent,High,1,18,2,Good,18,7,12,17
488,489,36,No,Travel_Rarely,1278,Human Resources,8,Bachelor,Life Sciences,Low,Male,77,Medium,1,Human Resources,Low,Married,2342,8635,0,No,21,Outstanding,High,0,6,3,Excellent,5,4,0,3
489,490,41,Yes,Non-Travel,906,Research & Development,5,College,Life Sciences,Low,Male,95,Medium,1,Research Scientist,Low,Divorced,2107,20293,6,No,17,Excellent,Low,1,5,2,Low,1,0,0,0
490,491,36,No,Travel_Rarely,1174,Sales,3,Master,Marketing,Low,Female,99,High,2,Sales Executive,Medium,Single,9278,20763,3,Yes,16,Excellent,Very High,0,15,3,Excellent,5,4,0,1
491,492,38,No,Travel_Rarely,1333,Research & Development,1,Bachelor,Technical Degree,Very High,Female,80,High,3,Research Director,Low,Married,13582,16292,1,No,13,Excellent,Medium,1,15,3,Excellent,15,12,5,11
493,494,38,No,Travel_Rarely,362,Research & Development,1,Below College,Life Sciences,High,Female,43,High,1,Research Scientist,Low,Single,2619,14561,3,No,17,Excellent,Very High,0,8,3,Good,0,0,0,0
494,495,51,No,Travel_Rarely,1318,Sales,26,Master,Marketing,Low,Female,66,High,4,Manager,High,Married,16307,5594,2,No,14,Excellent,High,1,29,2,Good,20,6,4,17
495,496,37,No,Travel_Rarely,1319,Research & Development,6,Bachelor,Medical,High,Male,51,Very High,2,Research Scientist,Low,Divorced,5974,17001,4,Yes,13,Excellent,Low,2,13,2,Excellent,7,7,6,7
496,497,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,Very High,Female,66,Medium,1,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,Excellent,Medium,0,1,5,Excellent,1,0,1,0
497,498,45,No,Travel_Rarely,974,Research & Development,1,Master,Medical,Very High,Female,91,High,1,Laboratory Technician,Very High,Divorced,2270,11005,3,No,14,Excellent,Very High,2,8,2,Excellent,5,3,0,2
498,499,24,Yes,Travel_Rarely,984,Research & Development,17,College,Life Sciences,Very High,Female,97,High,1,Laboratory Technician,Medium,Married,2210,3372,1,No,13,Excellent,Low,1,1,3,Low,1,0,0,0
499,500,52,No,Travel_Rarely,956,Research & Development,6,College,Technical Degree,Very High,Male,78,High,2,Research Scientist,Low,Divorced,5577,22087,3,Yes,12,Excellent,Medium,2,18,3,Excellent,10,9,6,9
500,501,49,No,Travel_Rarely,1261,Research & Development,7,Bachelor,Other,Medium,Male,31,Medium,3,Healthcare Representative,High,Single,10965,12066,8,No,24,Outstanding,High,0,26,2,Excellent,5,2,0,0
504,505,19,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,Very High,Male,50,High,1,Sales Representative,High,Single,1675,26820,1,Yes,19,Excellent,Very High,0,0,2,Good,0,0,0,0
506,507,24,No,Non-Travel,673,Research & Development,11,College,Other,Low,Female,96,Very High,2,Manufacturing Director,High,Divorced,4011,8232,0,No,18,Excellent,Very High,1,5,5,Good,4,2,1,3
507,508,22,No,Travel_Rarely,604,Research & Development,6,Below College,Medical,Low,Male,69,High,1,Research Scientist,High,Married,2773,12145,0,No,20,Outstanding,Very High,0,3,3,Excellent,2,2,2,2
509,510,42,No,Travel_Frequently,570,Research & Development,8,Bachelor,Life Sciences,Medium,Male,66,High,5,Manager,Very High,Divorced,18430,16225,1,No,13,Excellent,Medium,1,24,4,Good,24,7,14,9
510,511,33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Very High,Female,56,High,1,Research Scientist,High,Married,2909,23159,1,Yes,11,Excellent,High,0,8,3,Excellent,8,7,3,0
511,512,37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,Low,Male,51,Medium,2,Manufacturing Director,High,Divorced,5993,2689,1,No,18,Excellent,High,1,7,2,Outstanding,7,5,0,7
512,513,39,No,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,Medium,Male,52,High,5,Manager,High,Divorced,19197,8213,1,Yes,14,Excellent,High,1,21,3,Excellent,21,8,1,6
513,514,36,No,Travel_Frequently,607,Sales,7,Bachelor,Marketing,Low,Female,83,Very High,2,Sales Executive,Low,Married,4639,2261,2,No,16,Excellent,Very High,1,17,2,Good,15,7,6,13
